StateCode,State,County,Year,Month,NO2 Mean,O3 Mean,SO2,CO
AZ,Arizona,Maricopa,2015,4,14.30067798,0.036675017,0.462048825,0.366928392
AZ,Arizona,Maricopa,2015,5,11.1180364,0.039420018,0.531475391,0.311620145
AZ,Arizona,Maricopa,2015,6,10.82644493,0.0389569,0.414470583,0.292526083
AZ,Arizona,Maricopa,2015,7,7.453267016,0.033850097,0.70636475,0.198324702
AZ,Arizona,Maricopa,2015,8,9.621869339,0.036617468,0.959361831,0.293420355
AZ,Arizona,Maricopa,2015,9,12.13038265,0.027700717,1.111577467,0.33191855
AZ,Arizona,Maricopa,2015,10,10.07993819,0.021839752,0.867996863,0.400967043
AZ,Arizona,Maricopa,2015,11,23.37592227,0.016284733,0.8735353,0.567252317
AZ,Arizona,Maricopa,2015,12,26.95006548,0.011090065,1.678388677,0.74714021
AZ,Arizona,Maricopa,2016,1,21.14475029,0.013888464,0.946691571,0.712296161
AZ,Arizona,Maricopa,2016,2,22.70748916,0.01803676,0.72279568,0.7044975
AZ,Arizona,Maricopa,2016,3,17.14803323,0.027817731,0.42041525,0.505063942
AZ,Arizona,Pima,2000,1,27.53274137,0.013545867,3.318654133,0.713620933
AZ,Arizona,Pima,2000,2,23.15006286,0.020445182,2.949909523,0.572595568
AZ,Arizona,Pima,2000,3,20.08315186,0.028738071,1.795154518,0.410907643
AZ,Arizona,Pima,2000,4,18.19266804,0.0335584,2.5877024,0.4001087
AZ,Arizona,Pima,2000,5,14.01151287,0.038461097,2.726969613,0.330905242
AZ,Arizona,Pima,2000,6,11.0390097,0.033080533,1.542151467,0.228291083
AZ,Arizona,Pima,2000,7,10.25940858,0.037483968,1.238713403,0.208780371
AZ,Arizona,Pima,2000,8,10.12496121,0.042644357,1.443767107,0.2525365
AZ,Arizona,Pima,2000,9,12.79908557,0.028761067,1.157696683,0.283501883
AZ,Arizona,Pima,2000,10,14.55023368,0.020669355,2.170081952,0.456077645
AZ,Arizona,Pima,2000,11,21.34923693,0.016472333,3.2757048,0.50069445
AZ,Arizona,Pima,2000,12,23.51122848,0.013165129,3.265963274,0.742572484
AZ,Arizona,Pima,2001,1,20.67480694,0.016743323,1.245798,0.617296516
AZ,Arizona,Pima,2001,2,19.75585686,0.019214333,1.33976631,0.526052548
AZ,Arizona,Pima,2001,3,17.89995864,0.02674672,1.48238308,0.44826498
AZ,Arizona,Pima,2001,4,15.68114309,0.034228304,0.385319913,0.379663978
AZ,Arizona,Pima,2001,5,14.3625579,0.036047065,0.737775081,0.3612555
AZ,Arizona,Pima,2001,6,12.30476217,0.035411667,0.460133717,0.324289233
